year,scenario,industry,so2,nox,pm,so2rr,noxrr,pmrr
2014,Base case,power,4502140,5894229,1121010,2.459556866,1.407889581,1.170289886
2020,Base case,power,4937892.073,6464718.257,1229510.054,2.697611881,1.544156068,1.28355963
2025,Base case,power,5218827.177,6832520.2,1299461.468,2.851089086,1.632008868,1.356586126
2030,Base case,power,5384158.054,7048972.387,1340628.017,2.941410731,1.683710419,1.399562367
2035,Base case,power,5465321.114,7155231.558,1360837.207,2.985750792,1.709091377,1.420659958
2040,Base case,power,5485461.036,7181598.865,1365851.945,2.996753401,1.715389445,1.425895145
2050,Base case,power,5363285.918,7021646.46,1335430.961,2.930008108,1.677183376,1.394136847
2060,Base case,power,5070360.593,6638146.848,1262494.043,2.769980545,1.585581046,1.317993603
2014,Base case,others,13464688,9538998,8116119,2.255478361,1.034469652,1.54756434
2020,Base case,others,14421436.71,10299952.9,8668073.207,2.41574394,1.116992444,1.652809797
2025,Base case,others,15384733.58,10952853.96,9257512.178,2.577106404,1.18779719,1.765202768
2030,Base case,others,15971111.11,11346210.82,9617528.39,2.675330875,1.230455311,1.833849895
2035,Base case,others,16280770.16,11549526.41,9808961.573,2.727202056,1.252504149,1.870351968
2040,Base case,others,16389523,11614927.39,9877980.03,2.745419313,1.259596647,1.883512261
2050,Base case,others,16137285.44,11409074.15,9734020.531,2.703166841,1.237272612,1.85606237
2060,Base case,others,15396988.93,10852031.71,9297488.213,2.579159306,1.176863384,1.772825314
2014,CCUS0,power,4502140,5894229,1121010,2.459556866,1.407889581,1.170289886
2020,CCUS0,power,4719053.674,6178213.698,1175020.404,2.578058627,1.475721879,1.226674601
2025,CCUS0,power,4744388.343,6211382,1181328.607,2.591899169,1.483644426,1.233260115
2030,CCUS0,power,4588771.069,6007646.921,1142580.696,2.506884146,1.434980471,1.192808835
2035,CCUS0,power,4168670.575,5457648.805,1037977.806,2.27737972,1.303608477,1.083607576
2040,CCUS0,power,3627327.185,4748918.755,903186.051,1.981639283,1.134321933,0.94289034
2050,CCUS0,power,2173730.031,2845860.544,541247.7405,1.187526959,0.679759373,0.565041129
2060,CCUS0,power,396986.1874,519736.7248,98847.54492,0.216876886,0.124143789,0.103192908
2014,CCUS0,others,13464688,9538998,8116119,2.255478361,1.034469652,1.54756434
